geoid,name,year,series,sex,age_group,estimate
51041,Chesterfield County,2040,age_sex,Female,80 to 84,9373.136180849164
51041,Chesterfield County,2040,age_sex,Female,85 and Over,10066.36401640644
51041,Chesterfield County,2040,age_sex,Male,0 to 4,13312.924472284289
51041,Chesterfield County,2040,age_sex,Male,10 to 14,13785.879561984271
51041,Chesterfield County,2040,age_sex,Male,15 to 19,11970.143676881877
51041,Chesterfield County,2040,age_sex,Male,20 to 24,13078.069219783298
51041,Chesterfield County,2040,age_sex,Male,25 to 29,11242.745059037157
51041,Chesterfield County,2040,age_sex,Male,30 to 34,15917.967653235977
51041,Chesterfield County,2040,age_sex,Male,35 to 39,14796.224255952806
51041,Chesterfield County,2040,age_sex,Male,40 to 44,17323.464627751877
51041,Chesterfield County,2040,age_sex,Male,45 to 49,14747.49718539123
51041,Chesterfield County,2040,age_sex,Male,5 to 9,16627.855783158255
51041,Chesterfield County,2040,age_sex,Male,50 to 54,14351.581075060427
51041,Chesterfield County,2040,age_sex,Male,55 to 59,12905.50107126592
51041,Chesterfield County,2040,age_sex,Male,60 to 64,11322.210857778224
51041,Chesterfield County,2040,age_sex,Male,65 to 69,10689.433943499836
51041,Chesterfield County,2040,age_sex,Male,70 to 74,10245.621579913057
51041,Chesterfield County,2040,age_sex,Male,75 to 79,8896.127282955265
51041,Chesterfield County,2040,age_sex,Male,80 to 84,6718.554547148816
51041,Chesterfield County,2040,age_sex,Male,85 and Over,5612.760542481166
51041,Chesterfield County,2040,age_sex,Total,0 to 4,26241.4731510022
51041,Chesterfield County,2040,age_sex,Total,10 to 14,27203.01385238141
51041,Chesterfield County,2040,age_sex,Total,15 to 19,23122.174764382646
51041,Chesterfield County,2040,age_sex,Total,20 to 24,25932.328671136765
51041,Chesterfield County,2040,age_sex,Total,25 to 29,23178.65005561859
51041,Chesterfield County,2040,age_sex,Total,30 to 34,33626.187538810365
51041,Chesterfield County,2040,age_sex,Total,35 to 39,31568.457901606427
51041,Chesterfield County,2040,age_sex,Total,40 to 44,37078.81134757993
51041,Chesterfield County,2040,age_sex,Total,45 to 49,31097.95507020344
51041,Chesterfield County,2040,age_sex,Total,5 to 9,32177.596228755127
51041,Chesterfield County,2040,age_sex,Total,50 to 54,30022.144951298047
51041,Chesterfield County,2040,age_sex,Total,55 to 59,27549.252874135396
51041,Chesterfield County,2040,age_sex,Total,60 to 64,24862.44024350389
51041,Chesterfield County,2040,age_sex,Total,65 to 69,23472.399214408993
51041,Chesterfield County,2040,age_sex,Total,70 to 74,22463.603853252916
51041,Chesterfield County,2040,age_sex,Total,75 to 79,19582.16606127991
51041,Chesterfield County,2040,age_sex,Total,80 to 84,16091.690727997979
51041,Chesterfield County,2040,age_sex,Total,85 and Over,15679.124558887605
51041,Chesterfield County,2050,age_sex,Female,0 to 4,13885.33419328121
51041,Chesterfield County,2050,age_sex,Female,10 to 14,17139.31659106213
51041,Chesterfield County,2050,age_sex,Female,15 to 19,18491.22628431691
51041,Chesterfield County,2050,age_sex,Female,20 to 24,12278.701833847968
51041,Chesterfield County,2050,age_sex,Female,25 to 29,9384.15702583525
51041,Chesterfield County,2050,age_sex,Female,30 to 34,17790.139606672994
51041,Chesterfield County,2050,age_sex,Female,35 to 39,16778.18233030115
51041,Chesterfield County,2050,age_sex,Female,40 to 44,21698.641004521207
51041,Chesterfield County,2050,age_sex,Female,45 to 49,18049.585041446688
51041,Chesterfield County,2050,age_sex,Female,5 to 9,15628.932962097315
51041,Chesterfield County,2050,age_sex,Female,50 to 54,19685.073979263
51041,Chesterfield County,2050,age_sex,Female,55 to 59,15883.406964490736
51041,Chesterfield County,2050,age_sex,Female,60 to 64,15507.205431063949
51041,Chesterfield County,2050,age_sex,Female,65 to 69,14062.716503391548
51041,Chesterfield County,2050,age_sex,Female,70 to 74,12270.141158637374
51041,Chesterfield County,2050,age_sex,Female,75 to 79,11067.389084807779
51041,Chesterfield County,2050,age_sex,Female,80 to 84,10176.886146246907
51041,Chesterfield County,2050,age_sex,Female,85 and Over,13436.86960059557
51041,Chesterfield County,2050,age_sex,Male,0 to 4,14298.155963311943
51041,Chesterfield County,2050,age_sex,Male,10 to 14,17610.359200787843
51041,Chesterfield County,2050,age_sex,Male,15 to 19,19847.74196272547
51041,Chesterfield County,2050,age_sex,Male,20 to 24,12492.49037798406
51041,Chesterfield County,2050,age_sex,Male,25 to 29,8839.186058003597
51041,Chesterfield County,2050,age_sex,Male,30 to 34,15991.605516275617
51041,Chesterfield County,2050,age_sex,Male,35 to 39,14801.472100332532
51041,Chesterfield County,2050,age_sex,Male,40 to 44,19027.539493135315
51041,Chesterfield County,2050,age_sex,Male,45 to 49,16280.045884431936
51041,Chesterfield County,2050,age_sex,Male,5 to 9,16712.53898080273
51041,Chesterfield County,2050,age_sex,Male,50 to 54,18028.192055701846
51041,Chesterfield County,2050,age_sex,Male,55 to 59,13998.005999761677
51041,Chesterfield County,2050,age_sex,Male,60 to 64,12966.977493784903
51041,Chesterfield County,2050,age_sex,Male,65 to 69,11759.593798730366
51041,Chesterfield County,2050,age_sex,Male,70 to 74,10289.360405918273
51041,Chesterfield County,2050,age_sex,Male,75 to 79,9213.601413102475
51041,Chesterfield County,2050,age_sex,Male,80 to 84,7294.673135485009
51041,Chesterfield County,2050,age_sex,Male,85 and Over,7492.072746998742
51041,Chesterfield County,2050,age_sex,Total,0 to 4,28183.490156593154
51041,Chesterfield County,2050,age_sex,Total,10 to 14,34749.67579184997
51041,Chesterfield County,2050,age_sex,Total,15 to 19,38338.96824704238
51041,Chesterfield County,2050,age_sex,Total,20 to 24,24771.19221183203
51041,Chesterfield County,2050,age_sex,Total,25 to 29,18223.343083838845
51041,Chesterfield County,2050,age_sex,Total,30 to 34,33781.74512294861
