geoid,name,tenure,income_band,burden,estimate,moe,cv,reliability
51075,Goochland County,Owner,50-80% AMI,Cost-burdened,235,106.67239567948214,27.59423027342227,Medium
51075,Goochland County,Owner,50-80% AMI,Severely cost-burdened,95,57.57603668193913,36.84276863345969,Low
51075,Goochland County,Owner,80-100% AMI,Not cost-burdened,800,255.46819762937224,19.41247702350853,Medium
51075,Goochland County,Owner,80-100% AMI,Cost-burdened,220,114.93911431710269,31.759910007489,Low
51075,Goochland County,Owner,80-100% AMI,Severely cost-burdened,0,55.90169943749474,NA,NA
51075,Goochland County,Owner,100%+ AMI,Not cost-burdened,4950,425.9730038394452,5.231316248680669,High
51075,Goochland County,Owner,100%+ AMI,Cost-burdened,285,185.17829246431668,39.498382651163375,Low
51075,Goochland County,Owner,100%+ AMI,Severely cost-burdened,0,55.90169943749474,NA,NA
51075,Goochland County,Renter,0-30% AMI,Not cost-burdened,39,51.146847410177685,79.72386783598735,Low
51075,Goochland County,Renter,0-30% AMI,Cost-burdened,30,63.41135544995076,128.49312147913022,Low
51075,Goochland County,Renter,0-30% AMI,Severely cost-burdened,150,98.7471518576612,40.019109162172725,Low
51075,Goochland County,Renter,30-50% AMI,Not cost-burdened,175,95.11571899533746,33.04063186985235,Low
51075,Goochland County,Renter,30-50% AMI,Cost-burdened,124,95.26804291051643,46.70459991691167,Low
51075,Goochland County,Renter,30-50% AMI,Severely cost-burdened,10,52.20153254455275,317.3345443437857,Low
51075,Goochland County,Renter,50-80% AMI,Not cost-burdened,110,76.34133873596926,42.18918968553151,Low
51075,Goochland County,Renter,50-80% AMI,Cost-burdened,90,71.2460525222275,48.12296691808679,Low
51075,Goochland County,Renter,50-80% AMI,Severely cost-burdened,0,55.90169943749474,NA,NA
51075,Goochland County,Renter,80-100% AMI,Not cost-burdened,175,126.39620247459969,43.90662699942672,Low
51075,Goochland County,Renter,80-100% AMI,Cost-burdened,80,84.5103543951864,64.21759452521762,Low
51075,Goochland County,Renter,80-100% AMI,Severely cost-burdened,0,55.90169943749474,NA,NA
51075,Goochland County,Renter,100%+ AMI,Not cost-burdened,440,168.00595227550718,23.211654086143575,Medium
51075,Goochland County,Renter,100%+ AMI,Cost-burdened,24,61.83849933496123,156.63247045329592,Low
51075,Goochland County,Renter,100%+ AMI,Severely cost-burdened,20,60.4648658313239,183.7837867213492,Low
51085,Hanover County,Owner,0-30% AMI,Not cost-burdened,513,259.5168587972658,30.752633213917274,Low
51085,Hanover County,Owner,0-30% AMI,Cost-burdened,215,101.95587280779857,28.827559993722645,Medium
51085,Hanover County,Owner,0-30% AMI,Severely cost-burdened,790,194.1082172397655,14.936571677870456,High
51085,Hanover County,Owner,30-50% AMI,Not cost-burdened,1470,290.115494243241,11.997415141461076,High
51085,Hanover County,Owner,30-50% AMI,Cost-burdened,569,211.20606051910536,22.564629517909133,Medium
51085,Hanover County,Owner,30-50% AMI,Severely cost-burdened,510,177.01694834111225,21.099821007343973,Medium
51085,Hanover County,Owner,50-80% AMI,Not cost-burdened,3065,390.39211057602074,7.742917845386846,High
51085,Hanover County,Owner,50-80% AMI,Cost-burdened,1415,278.11148843584294,11.948037781728244,High
51085,Hanover County,Owner,50-80% AMI,Severely cost-burdened,510,163.03373883954205,19.433069770491933,Medium
51085,Hanover County,Owner,80-100% AMI,Not cost-burdened,2650,348.0833233580718,7.984936017848756,High
51085,Hanover County,Owner,80-100% AMI,Cost-burdened,500,135.86390249069103,16.518407597652406,Medium
51085,Hanover County,Owner,80-100% AMI,Severely cost-burdened,8,56.74504383644443,431.19334222222216,Low
51085,Hanover County,Owner,100%+ AMI,Not cost-burdened,21600,929.3653748660964,2.6155729338795912,High
51085,Hanover County,Owner,100%+ AMI,Cost-burdened,450,173.78722622793657,23.47682893994415,Medium
51085,Hanover County,Owner,100%+ AMI,Severely cost-burdened,8,54.954526656136345,417.5875885724646,Low
51085,Hanover County,Renter,0-30% AMI,Not cost-burdened,345,171.572142260916,30.231644819332367,Low
51085,Hanover County,Renter,0-30% AMI,Cost-burdened,155,84.08923831264022,32.979405162325804,Low
51085,Hanover County,Renter,0-30% AMI,Severely cost-burdened,1145,328.33976305041097,17.432195646482576,Medium
51085,Hanover County,Renter,30-50% AMI,Not cost-burdened,319,131.26309458488322,25.014167484804002,Medium
51085,Hanover County,Renter,30-50% AMI,Cost-burdened,390,149.89996664442592,23.36528199585783,Medium
51085,Hanover County,Renter,30-50% AMI,Severely cost-burdened,315,129.53377937819926,24.99807581959748,Medium
51085,Hanover County,Renter,50-80% AMI,Not cost-burdened,755,198.55981466550577,15.987424438133276,Medium
51085,Hanover County,Renter,50-80% AMI,Cost-burdened,530,173.1733235807409,19.862742854933867,Medium
51085,Hanover County,Renter,50-80% AMI,Severely cost-burdened,35,68.26419266350405,118.56568417456197,Low
51085,Hanover County,Renter,80-100% AMI,Not cost-burdened,700,240.67820840283815,20.90127732547444,Medium
51085,Hanover County,Renter,80-100% AMI,Cost-burdened,35,64.53681120105021,112.09172592453358,Low
51085,Hanover County,Renter,80-100% AMI,Severely cost-burdened,40,76.60939890117922,116.42765790452769,Low
51085,Hanover County,Renter,100%+ AMI,Not cost-burdened,2070,340.3395363456911,9.994847109398737,High
51085,Hanover County,Renter,100%+ AMI,Cost-burdened,90,70.12845356914696,47.36808751715431,Low
51085,Hanover County,Renter,100%+ AMI,Severely cost-burdened,20,70.2353187506115,213.48121200793767,Low
51087,Henrico County,Owner,0-30% AMI,Not cost-burdened,1154,403.685521167158,21.265297454455126,Medium
51087,Henrico County,Owner,0-30% AMI,Cost-burdened,725,176.60124574872057,14.807776606118484,High
51087,Henrico County,Owner,0-30% AMI,Severely cost-burdened,3220,511.8261423569531,9.66274882208373,High
51087,Henrico County,Owner,30-50% AMI,Not cost-burdened,3140,543.2844558792383,10.517965188454461,High
51087,Henrico County,Owner,30-50% AMI,Cost-burdened,2125,362.37963518939637,10.366662190292047,High
51087,Henrico County,Owner,30-50% AMI,Severely cost-burdened,1820,426.18892524325406,14.23524250119423,High
51087,Henrico County,Owner,50-80% AMI,Not cost-burdened,8095,811.9002401773262,6.097052217510724,High
