geoid,name,year,race_group,tenure,estimate,moe,cv,reliability,rate_reliability,total_hh,owner_rate
51075,"Goochland County, Virginia",2014,Multiracial,Total,24,26,65.85612968591693,Low,Low,24,1
51075,"Goochland County, Virginia",2014,Another race,Owner,43,49.37610758251404,69.80435086239349,Low,Low,43,1
51075,"Goochland County, Virginia",2014,Another race,Renter,0,38.1051177665153,NA,NA,Low,43,1
51075,"Goochland County, Virginia",2014,Another race,Total,43,49.37610758251404,69.80435086239349,Low,Low,43,1
51075,"Goochland County, Virginia",2019,"White, non-Hispanic",Owner,6052,237,2.380584076805477,High,High,6939,0.8721717826776193
51075,"Goochland County, Virginia",2019,"White, non-Hispanic",Renter,887,207,14.18668165291975,High,High,6939,0.8721717826776193
51075,"Goochland County, Virginia",2019,"White, non-Hispanic",Total,6939,243,2.128842264615093,High,High,6939,0.8721717826776193
51075,"Goochland County, Virginia",2019,Black,Owner,897,117,7.929166116030132,High,Medium,1143,0.7847769028871391
51075,"Goochland County, Virginia",2019,Black,Renter,246,103,25.452838115007285,Medium,Medium,1143,0.7847769028871391
51075,"Goochland County, Virginia",2019,Black,Total,1143,148,7.871356505968668,High,Medium,1143,0.7847769028871391
51075,"Goochland County, Virginia",2019,Hispanic or Latino,Owner,117,83,43.1247239757878,Low,Low,220,0.5318181818181819
51075,"Goochland County, Virginia",2019,Hispanic or Latino,Renter,103,53,31.280432024080028,Low,Low,220,0.5318181818181819
51075,"Goochland County, Virginia",2019,Hispanic or Latino,Total,220,78,21.552915169936444,Medium,Low,220,0.5318181818181819
51075,"Goochland County, Virginia",2019,Asian,Owner,70,34,29.526704298740775,Medium,Low,89,0.7865168539325843
51075,"Goochland County, Virginia",2019,Asian,Renter,19,37,118.38105903055511,Low,Low,89,0.7865168539325843
51075,"Goochland County, Virginia",2019,Asian,Total,89,44,30.053618387350163,Low,Low,89,0.7865168539325843
51075,"Goochland County, Virginia",2019,Multiracial,Owner,84,72,52.10594876248371,Low,Low,115,0.7304347826086957
