geoid,name,year,tenure,burden,estimate,moe,share,cv,reliability
51087,"Henrico County, Virginia",2014,Owner,Cost-burdened,13696,761.1353361919284,0.17403016556754217,3.3783312865377613,High
51087,"Henrico County, Virginia",2014,Owner,Severely cost-burdened,7004,565.1380362353962,0.08899731889858829,4.905039380322805,High
51087,"Henrico County, Virginia",2014,Owner,Not computed,366,133.64505228402584,NA,22.19759368246646,Medium
51127,"New Kent County, Virginia",2014,Owner,Not cost-burdened,4678,419.46871158645433,0.75028067361668,5.450965738696093,High
51127,"New Kent County, Virginia",2014,Owner,Cost-burdened,837,198.09593635408072,0.13424218123496393,14.387462558353995,High
51127,"New Kent County, Virginia",2014,Owner,Severely cost-burdened,720,180.9447429465692,0.11547714514835605,15.27733391983867,Medium
51127,"New Kent County, Virginia",2014,Owner,Not computed,18,26.30589287593181,NA,88.84124578160016,Low
51145,"Powhatan County, Virginia",2014,Owner,Not cost-burdened,6186,483.4501008377183,0.7362532730302309,4.750899431088322,High
51145,"Powhatan County, Virginia",2014,Owner,Cost-burdened,1276,235.9131196012634,0.1518686027136396,11.239203037668215,High
51145,"Powhatan County, Virginia",2014,Owner,Severely cost-burdened,940,232.96351645697658,0.11187812425612949,15.065867972384181,Medium
51145,"Powhatan County, Virginia",2014,Owner,Not computed,23,30.4138126514911,NA,80.38539091183058,Low
51760,"Richmond city, Virginia",2014,Owner,Not cost-burdened,24088,888.5403761225485,0.6608867427568043,2.242386770601383,High
51760,"Richmond city, Virginia",2014,Owner,Cost-burdened,7325,501.7120688203544,0.20097124670763827,4.163715209563404,High
51760,"Richmond city, Virginia",2014,Owner,Severely cost-burdened,5035,470.9575352407051,0.1381420105355575,5.686124607875028,High
51760,"Richmond city, Virginia",2014,Owner,Not computed,256,84.02380615040002,NA,19.952461566869307,Medium
51,Virginia,2014,Renter,Not cost-burdened,468542,5175.684399188189,0.4993232831106384,0.6715113489662977,High
51,Virginia,2014,Renter,Cost-burdened,242214,3818.9821942501903,0.25812646399972716,0.9584787514133963,High
51,Virginia,2014,Renter,Severely cost-burdened,227598,3734,0.24255025288963442,0.9973324961509618,High
51,Virginia,2014,Renter,Not computed,75112,1960,NA,1.5862836320456486,High
51036,"Charles City County, Virginia",2014,Renter,Not cost-burdened,189,54.11099703387473,0.4621026894865526,17.40435085761719,Medium
51036,"Charles City County, Virginia",2014,Renter,Cost-burdened,129,54.04627646748664,0.3154034229828851,25.468898691117854,Medium
51036,"Charles City County, Virginia",2014,Renter,Severely cost-burdened,91,41,0.22249388753056235,27.38902434951067,Medium
51036,"Charles City County, Virginia",2014,Renter,Not computed,144,45,NA,18.99696048632219,Medium
51041,"Chesterfield County, Virginia",2014,Renter,Not cost-burdened,12953,762.0288708441433,0.5129088461233864,3.5763100066672813,High
51041,"Chesterfield County, Virginia",2014,Renter,Cost-burdened,6565,565.0212385388712,0.2599588184050051,5.231956687868763,High
51041,"Chesterfield County, Virginia",2014,Renter,Severely cost-burdened,5736,434,0.22713233547160847,4.599543013145791,High
51041,"Chesterfield County, Virginia",2014,Renter,Not computed,1695,280,NA,10.042051088934915,High
