area,area_title,occ_code,occ_title,o_group,tot_emp,annual_wage_median,annual_wage_p10,annual_wage_p25,annual_wage_p75,annual_wage_p90
40060,"Richmond, VA",29-1292,Dental Hygienists,detailed,780,104250,94870,102950,104690,119350
40060,"Richmond, VA",29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",detailed,70,97820,82370,84950,125220,154790
40060,"Richmond, VA",29-2010,Clinical Laboratory Technologists and Technicians,detailed,**,61830,42000,47740,79200,95650
40060,"Richmond, VA",29-2031,Cardiovascular Technologists and Technicians,detailed,380,71960,37500,44480,93350,99230
40060,"Richmond, VA",29-2032,Diagnostic Medical Sonographers,detailed,440,95660,79740,82220,98990,103010
40060,"Richmond, VA",29-2033,Nuclear Medicine Technologists,detailed,80,97300,82900,94100,101820,106600
40060,"Richmond, VA",29-2034,Radiologic Technologists and Technicians,detailed,1130,80600,60250,74880,95670,98150
40060,"Richmond, VA",29-2035,Magnetic Resonance Imaging Technologists,detailed,160,98680,78770,82060,100880,101050
40060,"Richmond, VA",29-2042,Emergency Medical Technicians,detailed,**,47290,38330,40050,53440,58260
40060,"Richmond, VA",29-2043,Paramedics,detailed,**,63750,50660,54430,73240,79580
40060,"Richmond, VA",29-2051,Dietetic Technicians,detailed,60,39240,33380,35950,43150,44930
40060,"Richmond, VA",29-2052,Pharmacy Technicians,detailed,2020,44030,37040,37640,48090,51430
40060,"Richmond, VA",29-2053,Psychiatric Technicians,detailed,610,48320,39720,39720,49390,60260
40060,"Richmond, VA",29-2055,Surgical Technologists,detailed,380,60980,47870,58790,74620,90500
40060,"Richmond, VA",29-2056,Veterinary Technologists and Technicians,detailed,420,53220,37200,47960,62510,71750
40060,"Richmond, VA",29-2057,Ophthalmic Medical Technicians,detailed,350,39120,37260,38460,49510,52280
40060,"Richmond, VA",29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,2570,64030,56010,59700,73900,77930
40060,"Richmond, VA",29-2072,Medical Records Specialists,detailed,740,51370,38420,46760,63100,76100
40060,"Richmond, VA",29-2081,"Opticians, Dispensing",detailed,310,55020,36440,45510,62440,71240
40060,"Richmond, VA",29-2091,Orthotists and Prosthetists,detailed,80,87530,53250,75940,105150,125370
40060,"Richmond, VA",29-2092,Hearing Aid Specialists,detailed,30,65170,38700,39450,78820,79150
40060,"Richmond, VA",29-2099,"Health Technologists and Technicians, All Other",detailed,820,49500,37250,39110,75060,76920
40060,"Richmond, VA",29-9021,Health Information Technologists and Medical Registrars,detailed,110,52100,37970,46100,75460,118310
40060,"Richmond, VA",29-9091,Athletic Trainers,detailed,160,60370,50180,59870,63180,79130
40060,"Richmond, VA",29-9093,Surgical Assistants,detailed,340,51030,51030,51030,102120,106120
40060,"Richmond, VA",29-9099,"Healthcare Practitioners and Technical Workers, All Other",detailed,80,72340,49620,54140,85120,139420
40060,"Richmond, VA",31-0000,Healthcare Support Occupations,major,27580,37270,28420,30060,45850,49690
40060,"Richmond, VA",31-1120,Home Health and Personal Care Aides,detailed,11570,29360,27630,28420,36810,38420
40060,"Richmond, VA",31-1131,Nursing Assistants,detailed,6660,42720,33910,36560,46420,48390
40060,"Richmond, VA",31-1132,Orderlies,detailed,100,37560,31220,31540,38050,46800
40060,"Richmond, VA",31-2011,Occupational Therapy Assistants,detailed,210,76760,50000,64540,80120,93430
40060,"Richmond, VA",31-2021,Physical Therapist Assistants,detailed,560,73640,54850,60580,79690,83090
40060,"Richmond, VA",31-2022,Physical Therapist Aides,detailed,250,33860,26170,26850,36760,39510
40060,"Richmond, VA",31-9011,Massage Therapists,detailed,490,57730,39720,53870,91830,98910
40060,"Richmond, VA",31-9091,Dental Assistants,detailed,1610,47760,37820,39100,55550,57670
40060,"Richmond, VA",31-9092,Medical Assistants,detailed,3210,44490,37810,38730,45910,46940
40060,"Richmond, VA",31-9093,Medical Equipment Preparers,detailed,300,46640,34820,40870,48120,58180
40060,"Richmond, VA",31-9094,Medical Transcriptionists,detailed,**,35050,27110,27350,35170,37820
40060,"Richmond, VA",31-9095,Pharmacy Aides,detailed,80,33840,27980,33700,36300,49920
40060,"Richmond, VA",31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,820,37470,30060,36310,45430,46780
40060,"Richmond, VA",31-9097,Phlebotomists,detailed,640,46370,38300,39320,49010,57100
40060,"Richmond, VA",31-9099,"Healthcare Support Workers, All Other",detailed,440,46020,34110,39960,53210,63070
40060,"Richmond, VA",33-0000,Protective Service Occupations,major,18820,50170,28590,35840,69790,93460
40060,"Richmond, VA",33-1011,First-Line Supervisors of Correctional Officers,detailed,470,67440,54830,58840,81070,97110
40060,"Richmond, VA",33-1012,First-Line Supervisors of Police and Detectives,detailed,690,100260,76220,85810,123630,152030
40060,"Richmond, VA",33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detailed,500,100210,72820,85330,118150,124610
40060,"Richmond, VA",33-1091,First-Line Supervisors of Security Workers,detailed,240,62510,40130,47660,77460,93440
40060,"Richmond, VA",33-2011,Firefighters,detailed,2020,60790,38940,50170,76540,77310
40060,"Richmond, VA",33-3011,Bailiffs,detailed,30,61470,45150,61470,73870,73870
40060,"Richmond, VA",33-3012,Correctional Officers and Jailers,detailed,1930,51660,46320,47200,60490,74980
40060,"Richmond, VA",33-3021,Detectives and Criminal Investigators,detailed,490,91080,66930,77280,115710,155940
40060,"Richmond, VA",33-3051,Police and Sheriff's Patrol Officers,detailed,3410,62720,53270,58820,76410,96220
40060,"Richmond, VA",33-9011,Animal Control Workers,detailed,60,49010,43360,44020,50480,56090
40060,"Richmond, VA",33-9021,Private Detectives and Investigators,detailed,130,52430,37180,39300,78710,101390
40060,"Richmond, VA",33-9032,Security Guards,detailed,4630,36960,30790,35210,46040,61990
40060,"Richmond, VA",33-9091,Crossing Guards and Flaggers,detailed,390,35520,29970,31810,38280,42330
40060,"Richmond, VA",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,**,28590,26280,28340,29630,34720
40060,"Richmond, VA",33-9093,Transportation Security Screeners,detailed,160,65960,47670,63840,70200,70200
40060,"Richmond, VA",33-9094,School Bus Monitors,detailed,270,30420,29390,29390,37940,44060
40060,"Richmond, VA",35-0000,Food Preparation and Serving Related Occupations,major,52500,34300,27730,29090,39180,50170
40060,"Richmond, VA",35-1011,Chefs and Head Cooks,detailed,540,59730,46040,53690,75280,92810
