nhpd_property_id,geoid,county,property_name,total_units,latest_end_date,expire_window,lihtc,number_active_section8,number_active_public_housing,number_active_home,number_active_hud_insured,number_active_section515,number_active_pbv,number_active_nhtf,number_active_section202,number_active_section538
1094863,51760,Richmond,BOWLER RETIREMENT COMMUNITY,62,2035-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094864,51760,Richmond,IMANI MEWS & RETAIL CENTER,68,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094867,51760,Richmond,CARY 2000 PHASE III,29,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094869,51085,Hanover,CHICKAHOMINY BLUFF,120,2027-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094874,51760,Richmond,MCGUIRE PARK,80,2037-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094878,51760,Richmond,NORTH COURT APARTMENTS,266,2035-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094879,51087,Henrico,LAWNDALE FARMS,50,2027-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094900,51087,Henrico,SUMMERDALE,124,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094904,51760,Richmond,WILLIAM BYRD,104,2032-07-12T00:00:00Z,2031-2035,TRUE,0,0,1,0,0,0,0,0,0
1094913,51087,Henrico,DELMONT VILLAGE,94,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094915,51087,Henrico,GLENWOOD FARMS,294,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094917,51041,Chesterfield,GRAND OAKS,184,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094922,51760,Richmond,COLUMNS ON GROVE,28,2029-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094925,51760,Richmond,LAFAYETTE GARDENS,102,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,1,0,0,0,0,0,0
1094927,51085,Hanover,THE PINES AT COLD HARBOR,156,2055-11-01T00:00:00Z,2041 and later,TRUE,0,0,0,1,0,0,0,0,0
1094929,51760,Richmond,SOUTH GATE,112,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094932,51087,Henrico,DARBY HOUSE,108,2037-01-01T00:00:00Z,2036-2040,TRUE,0,0,1,0,0,0,0,0,0
1094934,51087,Henrico,FIELDCREST,29,2037-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094941,51087,Henrico,QUARTER MILL,266,2037-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094966,51760,Richmond,CARY 2000 I,29,2029-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094986,51041,Chesterfield,GENITO GLEN,102,2030-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094992,51760,Richmond,NORCROFT,109,2028-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094996,51087,Henrico,KINGS GRANT,90,2034-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095001,51760,Richmond,AHPP THE IMANI MEWS,68,2027-03-02T00:00:00Z,2026-2030,FALSE,0,0,1,0,0,0,0,0,0
1095037,51760,Richmond,MOSBY CT,458,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1095041,51760,Richmond,FAY,130,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1095043,51760,Richmond,STONEWALL,219,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1095044,51087,Henrico,GREENS AT VIRGINIA CENTER,180,2046-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1095064,51760,Richmond,BACON RETIREMENT COMMUNITY,58,2029-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1095068,51760,Richmond,COUNTRYSIDE RICHMOND,59,2029-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1095097,51087,Henrico,ATLANTIC AT TWIN HICKORY,110,2038-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1095099,51041,Chesterfield,ATLANTIC AT CHARTER COLONY,113,2038-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1095100,51760,Richmond,OAKHURST MANOR,392,2029-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1095118,51041,Chesterfield,SOUTHPOINTE LANDING,192,2029-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1095121,51760,Richmond,JEFFERSON TOWNHOUSES,218,2038-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1095124,51760,Richmond,ARBORS,85,2031-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095135,51087,Henrico,VILLAGE AT THE ARBORS,292,2038-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1095136,51085,Hanover,ASHLAND WOODS I,75,2032-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095174,51087,Henrico,PARHAM PARK PLACE I,86,2030-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1095194,51087,Henrico,GLENNS AT MILLERS LANE,144,2030-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1095208,51085,Hanover,ASHLAND WOODS II,75,2032-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095212,51087,Henrico,AUDUBON VILLAGE I,160,2031-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095227,51087,Henrico,CREEKSIDE MANOR,97,2029-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1095228,51760,Richmond,RICHMOND DAIRY,113,2031-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095231,51087,Henrico,OAKMEADE APARTMENTS,100,2032-06-30T00:00:00Z,2031-2035,FALSE,1,0,0,0,0,0,0,0,0
1095234,51760,Richmond,GRAYSTONE,136,2032-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095236,51760,Richmond,GUARDIAN PLACE II,115,2031-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095242,51041,Chesterfield,MARKET SQUARE V,105,2049-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1095244,51087,Henrico,OVERLOOK AT BROOK RUN II,156,2033-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095253,51041,Chesterfield,MARIA SENIOR GARDENS,44,2034-08-12T00:00:00Z,2031-2035,FALSE,0,0,1,0,0,0,0,0,0
1095254,51087,Henrico,RICHFIELD PLACE,266,2032-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095263,51760,Richmond,SHOCKOE HILL II,64,2051-07-01T00:00:00Z,2041 and later,FALSE,1,0,0,1,0,0,0,0,0
1095264,51760,Richmond,ST ANDREWS RICHMOND CITY,22,2031-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095267,51087,Henrico,DELMONT PLAZA,41,2041-02-28T00:00:00Z,2041 and later,TRUE,1,0,0,0,0,0,0,0,0
1095273,51760,Richmond,NEW MANCHESTER FLATS IX,41,2040-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1095276,51760,Richmond,TOWNES AT RIVER SOUTH II,99,2035-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095278,51087,Henrico,TOWNHOMES OF OAKLEYS,160,2031-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095284,51087,Henrico,AUDUBON VILLAGE II,54,2032-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1095322,51760,Richmond,GILPIN COURT,781,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1095323,51760,Richmond,HILLSIDE CT,402,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1095324,51760,Richmond,CREIGHTON CT,312,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1095325,51760,Richmond,WHITCOMB CT,441,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1095326,51760,Richmond,FAIRFIELD CT,447,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1095329,51760,Richmond,TOWNES AT RIVER SOUTH,161,2043-02-28T00:00:00Z,2041 and later,FALSE,1,0,0,0,0,0,0,0,0
1095423,51760,Richmond,BELT ATLANTIC AKA MIDLOTHIAN VILLAGE,216,2042-05-31T00:00:00Z,2041 and later,TRUE,1,0,0,0,0,0,0,0,0
1095462,51760,Richmond,AHPP OLD MANCHESTER PLAZA APARTMENTS,10,2030-01-11T00:00:00Z,2026-2030,FALSE,0,0,1,0,0,0,0,0,0
1095476,51760,Richmond,NB-BECKSTOFFERS-1209 N 28TH ST,32,2034-02-04T00:00:00Z,2031-2035,FALSE,0,0,1,0,0,0,0,0,0
1095486,51760,Richmond,HOUSING REDEVEL-1910 4TH AV #2,1,2035-02-18T00:00:00Z,2031-2035,FALSE,0,0,2,0,0,0,0,0,0
1095506,51760,Richmond,REDEVELOPMENT AND HOMEOWNERSHIP PROGRAM,2,2026-08-30T00:00:00Z,2026-2030,FALSE,0,0,1,0,0,0,0,0,0
1095605,51087,Henrico,SANDSTON PLATEAU SENIOR RETIREMENT COMMUNITY,100,2037-01-01T00:00:00Z,2036-2040,TRUE,0,0,1,0,0,0,0,0,0
1096043,51760,Richmond,CITY VIEW PLACE,32,2043-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1096045,51760,Richmond,BOOKER T WASHINGTON PLAZA,28,2041-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1096047,51760,Richmond,ANDOVER PLACE,192,2043-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1096049,51760,Richmond,LINCOLN MEWS II,130,2041-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1096052,51760,Richmond,NORTH OAK APARTMENTS COMPLEX,143,2043-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1096066,51760,Richmond,DOVE STREET PHASE I,80,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1096068,51760,Richmond,DOVE STREET PHASE II,48,NA,No listed expiration,FALSE,0,1,0,0,0,0,0,0,0
1103307,51760,Richmond,CARY WEST,47,2046-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1103309,51760,Richmond,CHICAGO MANOR,74,2028-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1103311,51760,Richmond,TOWNHOMES AT WARWICK PLACE,40,2046-01-01T00:00:00Z,2041 and later,TRUE,0,0,1,0,0,0,0,0,0
1104073,51087,Henrico,PARHAM PARK PLACE II,51,2037-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1104150,51087,Henrico,ATLANTIC AT BROOK RUN,120,2040-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1104373,51041,Chesterfield,COURTHOUSE SENIORS,69,2033-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1104537,51760,Richmond,OLD MANCHESTER PLAZA I,46,2040-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1104737,51041,Chesterfield,BROOK CREEK CROSSING,70,2044-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1104800,51041,Chesterfield,PARK AT RIDGEDALE,120,2034-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1105196,51760,Richmond,SOMANATH SENIOR APARTMENTS,39,2044-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1105451,51760,Richmond,HIGHLAND GROVE II,38,2044-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1105571,51760,Richmond,JEFFERSON MEWS,56,2044-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1105771,51760,Richmond,BELLE SUMMIT,50,2045-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1105791,51760,Richmond,GEORGE MASON SQUARE,250,2057-06-01T00:00:00Z,2041 and later,TRUE,2,0,0,1,0,0,0,0,0
1105915,51760,Richmond,MILLER LOFTS,197,2045-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1105942,51041,Chesterfield,MARKET SQUARE III,69,2036-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1106170,51041,Chesterfield,CREEKPOINTE,214,2034-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1106319,51760,Richmond,DOMINION PLACE,249,2054-07-01T00:00:00Z,2041 and later,TRUE,1,0,0,1,0,0,0,0,0
1106924,51087,Henrico,HENRICO ARMS APARTMENTS,232,2060-12-01T00:00:00Z,2041 and later,TRUE,1,0,0,1,0,0,0,0,0
1107004,51087,Henrico,OAKMEADE,100,2043-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
