zip_code,hud_area_code,hud_area_name,bedroom_size,safmr
23105,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23105,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23105,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23106,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1560
23106,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1640
23106,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1800
23106,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2260
23106,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2790
23111,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1570
23111,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1640
23111,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1800
23111,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2250
23111,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2780
23112,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1720
23112,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1800
23112,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1980
23112,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2480
23112,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3050
23113,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1740
23113,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1820
23113,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,2000
23113,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2500
23113,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3090
23114,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1720
23114,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1790
23114,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1970
23114,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2470
23114,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3040
23116,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1920
23116,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,2000
23116,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,2200
23116,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2750
23116,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3390
23117,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1010
23117,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1060
23117,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1160
23117,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1590
23117,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,1800
23120,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,2160
23120,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,2260
23120,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,2480
23120,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,3110
23120,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3830
23124,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1480
23124,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1540
23124,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1690
23124,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2130
23124,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2620
23129,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1430
23129,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1500
23129,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1640
23129,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2060
23129,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2540
23139,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23139,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23139,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23139,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23139,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23140,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1610
23140,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1680
23140,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1850
23140,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2320
23140,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2850
23141,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1420
23141,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1480
23141,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1630
23141,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2040
23141,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2510
23146,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1890
23146,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1980
23146,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,2170
23146,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2720
23146,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3350
23147,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23147,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23147,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23147,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23147,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23150,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23150,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23150,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23150,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23150,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23153,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23153,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23153,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23153,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23153,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23160,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1350
23160,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1410
23160,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1550
23160,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23160,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23162,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1510
23162,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1580
23162,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1730
23162,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2170
23162,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2670
23173,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1570
23173,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1640
23173,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1800
23173,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2250
23173,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2780
23177,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23177,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23177,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23177,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23177,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23181,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1380
23181,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1440
23181,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1580
23181,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1980
23181,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2440
23185,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1570
23185,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1590
23185,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1800
23185,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2500
23185,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2940
23192,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1340
23192,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1400
23192,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1540
23192,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1950
23192,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2410
23218,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1390
23218,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1450
23218,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1590
23218,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,1990
23218,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2450
23219,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1490
23219,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1560
23219,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1710
23219,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2140
23219,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,2640
23220,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1750
23220,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1830
23220,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,2010
23220,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",3,2520
23220,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",4,3100
23221,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",0,1730
23221,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",1,1810
23221,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",2,1990
