geoid,name,year,table,variable,label,estimate,moe,cv,reliability
51075,"Goochland County, Virginia",2024,B25036,B25036_004,Total:!!Owner occupied:!!Built 2010 to 2019,1616,313,11.774353727166028,High
51075,"Goochland County, Virginia",2024,B25036,B25036_005,Total:!!Owner occupied:!!Built 2000 to 2009,2380,349,8.914203979464126,High
51075,"Goochland County, Virginia",2024,B25036,B25036_006,Total:!!Owner occupied:!!Built 1990 to 1999,1508,267,10.763264615062122,High
51075,"Goochland County, Virginia",2024,B25036,B25036_007,Total:!!Owner occupied:!!Built 1980 to 1989,1326,256,11.736282074204476,High
51075,"Goochland County, Virginia",2024,B25036,B25036_008,Total:!!Owner occupied:!!Built 1970 to 1979,714,171,14.559015095399863,High
51075,"Goochland County, Virginia",2024,B25036,B25036_009,Total:!!Owner occupied:!!Built 1960 to 1969,301,106,21.407870421795636,Medium
51075,"Goochland County, Virginia",2024,B25036,B25036_010,Total:!!Owner occupied:!!Built 1950 to 1959,226,105,28.243268687629445,Medium
51075,"Goochland County, Virginia",2024,B25036,B25036_011,Total:!!Owner occupied:!!Built 1940 to 1949,132,75,34.539928156949436,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_012,Total:!!Owner occupied:!!Built 1939 or earlier,179,93,31.583773411896555,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_013,Total:!!Renter occupied:,1558,249,9.71551868774167,High
51075,"Goochland County, Virginia",2024,B25036,B25036_014,Total:!!Renter occupied:!!Built 2020 or later,222,128,35.05024781620526,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_015,Total:!!Renter occupied:!!Built 2010 to 2019,622,171,16.71243855002492,Medium
51075,"Goochland County, Virginia",2024,B25036,B25036_016,Total:!!Renter occupied:!!Built 2000 to 2009,96,73,46.22593718338399,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_017,Total:!!Renter occupied:!!Built 1990 to 1999,42,39,56.44811115935736,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_018,Total:!!Renter occupied:!!Built 1980 to 1989,230,150,39.64583058015065,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_019,Total:!!Renter occupied:!!Built 1970 to 1979,64,49,46.54255319148936,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_020,Total:!!Renter occupied:!!Built 1960 to 1969,207,119,34.94706547435502,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_021,Total:!!Renter occupied:!!Built 1950 to 1959,45,36,48.6322188449848,Low
51075,"Goochland County, Virginia",2024,B25036,B25036_022,Total:!!Renter occupied:!!Built 1940 to 1949,0,25,NA,NA
51075,"Goochland County, Virginia",2024,B25036,B25036_023,Total:!!Renter occupied:!!Built 1939 or earlier,30,26,52.68490374873353,Low
51085,"Hanover County, Virginia",2024,B25036,B25036_001,Total:,42688,384,0.5468390424848366,High
51085,"Hanover County, Virginia",2024,B25036,B25036_002,Total:!!Owner occupied:,35055,611,1.059559467775129,High
51085,"Hanover County, Virginia",2024,B25036,B25036_003,Total:!!Owner occupied:!!Built 2020 or later,1067,213,12.135265480297285,High
51085,"Hanover County, Virginia",2024,B25036,B25036_004,Total:!!Owner occupied:!!Built 2010 to 2019,4604,474,6.258598971688421,High
51085,"Hanover County, Virginia",2024,B25036,B25036_005,Total:!!Owner occupied:!!Built 2000 to 2009,5972,553,5.62910604095709,High
51085,"Hanover County, Virginia",2024,B25036,B25036_006,Total:!!Owner occupied:!!Built 1990 to 1999,7221,510,4.293455132762472,High
51085,"Hanover County, Virginia",2024,B25036,B25036_007,Total:!!Owner occupied:!!Built 1980 to 1989,5717,549,5.837652646907613,High
51085,"Hanover County, Virginia",2024,B25036,B25036_008,Total:!!Owner occupied:!!Built 1970 to 1979,4625,469,6.1644623346751,High
51085,"Hanover County, Virginia",2024,B25036,B25036_009,Total:!!Owner occupied:!!Built 1960 to 1969,2876,407,8.602796014390131,High
51085,"Hanover County, Virginia",2024,B25036,B25036_010,Total:!!Owner occupied:!!Built 1950 to 1959,1338,297,13.49380511674186,High
51085,"Hanover County, Virginia",2024,B25036,B25036_011,Total:!!Owner occupied:!!Built 1940 to 1949,711,196,16.757937576682526,Medium
51085,"Hanover County, Virginia",2024,B25036,B25036_012,Total:!!Owner occupied:!!Built 1939 or earlier,924,174,11.44751904630324,High
51085,"Hanover County, Virginia",2024,B25036,B25036_013,Total:!!Renter occupied:,7633,544,4.332491656568802,High
51085,"Hanover County, Virginia",2024,B25036,B25036_014,Total:!!Renter occupied:!!Built 2020 or later,160,70,26.595744680851062,Medium
51085,"Hanover County, Virginia",2024,B25036,B25036_015,Total:!!Renter occupied:!!Built 2010 to 2019,676,173,15.55727414974551,Medium
51085,"Hanover County, Virginia",2024,B25036,B25036_016,Total:!!Renter occupied:!!Built 2000 to 2009,918,251,16.621305732694967,Medium
51085,"Hanover County, Virginia",2024,B25036,B25036_017,Total:!!Renter occupied:!!Built 1990 to 1999,1410,314,13.537692125288322,High
51085,"Hanover County, Virginia",2024,B25036,B25036_018,Total:!!Renter occupied:!!Built 1980 to 1989,1407,351,15.165164192066156,Medium
51085,"Hanover County, Virginia",2024,B25036,B25036_019,Total:!!Renter occupied:!!Built 1970 to 1979,1238,278,13.65080456270777,High
51085,"Hanover County, Virginia",2024,B25036,B25036_020,Total:!!Renter occupied:!!Built 1960 to 1969,550,178,19.6739430781984,Medium
51085,"Hanover County, Virginia",2024,B25036,B25036_021,Total:!!Renter occupied:!!Built 1950 to 1959,440,208,28.73722022658193,Medium
51085,"Hanover County, Virginia",2024,B25036,B25036_022,Total:!!Renter occupied:!!Built 1940 to 1949,201,104,31.453673879840917,Low
51085,"Hanover County, Virginia",2024,B25036,B25036_023,Total:!!Renter occupied:!!Built 1939 or earlier,633,219,21.03170601708466,Medium
51087,"Henrico County, Virginia",2024,B25036,B25036_001,Total:,137365,837,0.3704106502134121,High
51087,"Henrico County, Virginia",2024,B25036,B25036_002,Total:!!Owner occupied:,88571,1494,1.0253996081449812,High
51087,"Henrico County, Virginia",2024,B25036,B25036_003,Total:!!Owner occupied:!!Built 2020 or later,1466,293,12.149761358782868,High
51087,"Henrico County, Virginia",2024,B25036,B25036_004,Total:!!Owner occupied:!!Built 2010 to 2019,8594,812,5.74374006605301,High
51087,"Henrico County, Virginia",2024,B25036,B25036_005,Total:!!Owner occupied:!!Built 2000 to 2009,12850,773,3.656877934549927,High
51087,"Henrico County, Virginia",2024,B25036,B25036_006,Total:!!Owner occupied:!!Built 1990 to 1999,15075,909,3.665562763689153,High
51087,"Henrico County, Virginia",2024,B25036,B25036_007,Total:!!Owner occupied:!!Built 1980 to 1989,14941,955,3.8855974329831073,High
51087,"Henrico County, Virginia",2024,B25036,B25036_008,Total:!!Owner occupied:!!Built 1970 to 1979,8925,720,4.904089295292585,High
51087,"Henrico County, Virginia",2024,B25036,B25036_009,Total:!!Owner occupied:!!Built 1960 to 1969,8218,764,5.651468605130261,High
51087,"Henrico County, Virginia",2024,B25036,B25036_010,Total:!!Owner occupied:!!Built 1950 to 1959,11487,807,4.270719139886691,High
51087,"Henrico County, Virginia",2024,B25036,B25036_011,Total:!!Owner occupied:!!Built 1940 to 1949,4341,403,5.643510767832549,High
51087,"Henrico County, Virginia",2024,B25036,B25036_012,Total:!!Owner occupied:!!Built 1939 or earlier,2674,414,9.411807498982661,High
51087,"Henrico County, Virginia",2024,B25036,B25036_013,Total:!!Renter occupied:,48794,1353,1.685642499520034,High
51087,"Henrico County, Virginia",2024,B25036,B25036_014,Total:!!Renter occupied:!!Built 2020 or later,693,207,18.158133659653416,Medium
51087,"Henrico County, Virginia",2024,B25036,B25036_015,Total:!!Renter occupied:!!Built 2010 to 2019,4002,466,7.078527605498162,High
51087,"Henrico County, Virginia",2024,B25036,B25036_016,Total:!!Renter occupied:!!Built 2000 to 2009,7261,695,5.818653094832742,High
51087,"Henrico County, Virginia",2024,B25036,B25036_017,Total:!!Renter occupied:!!Built 1990 to 1999,7472,792,6.44350865317652,High
51087,"Henrico County, Virginia",2024,B25036,B25036_018,Total:!!Renter occupied:!!Built 1980 to 1989,8542,754,5.3659407938888055,High
51087,"Henrico County, Virginia",2024,B25036,B25036_019,Total:!!Renter occupied:!!Built 1970 to 1979,8315,794,5.804867973980446,High
51087,"Henrico County, Virginia",2024,B25036,B25036_020,Total:!!Renter occupied:!!Built 1960 to 1969,5656,719,7.7277593152280915,High
51087,"Henrico County, Virginia",2024,B25036,B25036_021,Total:!!Renter occupied:!!Built 1950 to 1959,3648,461,7.682104196661868,High
51087,"Henrico County, Virginia",2024,B25036,B25036_022,Total:!!Renter occupied:!!Built 1940 to 1949,2013,497,15.008825612243818,Medium
51087,"Henrico County, Virginia",2024,B25036,B25036_023,Total:!!Renter occupied:!!Built 1939 or earlier,1192,291,14.840578527569818,High
51127,"New Kent County, Virginia",2024,B25036,B25036_001,Total:,9263,232,1.5225459856467225,High
51127,"New Kent County, Virginia",2024,B25036,B25036_002,Total:!!Owner occupied:,8582,296,2.096704844167371,High
51127,"New Kent County, Virginia",2024,B25036,B25036_003,Total:!!Owner occupied:!!Built 2020 or later,774,185,14.529974945610771,High
51127,"New Kent County, Virginia",2024,B25036,B25036_004,Total:!!Owner occupied:!!Built 2010 to 2019,1721,330,11.656473139777008,High
51127,"New Kent County, Virginia",2024,B25036,B25036_005,Total:!!Owner occupied:!!Built 2000 to 2009,1757,311,10.760259007392056,High
51127,"New Kent County, Virginia",2024,B25036,B25036_006,Total:!!Owner occupied:!!Built 1990 to 1999,1187,268,13.725183920025197,High
51127,"New Kent County, Virginia",2024,B25036,B25036_007,Total:!!Owner occupied:!!Built 1980 to 1989,1118,239,12.995416261126305,High
51127,"New Kent County, Virginia",2024,B25036,B25036_008,Total:!!Owner occupied:!!Built 1970 to 1979,910,230,15.364574635091351,Medium
51127,"New Kent County, Virginia",2024,B25036,B25036_009,Total:!!Owner occupied:!!Built 1960 to 1969,397,176,26.949844196213242,Medium
51127,"New Kent County, Virginia",2024,B25036,B25036_010,Total:!!Owner occupied:!!Built 1950 to 1959,238,132,33.71561390513652,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_011,Total:!!Owner occupied:!!Built 1940 to 1949,283,138,29.643313606925364,Medium
51127,"New Kent County, Virginia",2024,B25036,B25036_012,Total:!!Owner occupied:!!Built 1939 or earlier,197,158,48.755650872510145,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_013,Total:!!Renter occupied:,681,208,18.567366959906092,Medium
51127,"New Kent County, Virginia",2024,B25036,B25036_014,Total:!!Renter occupied:!!Built 2020 or later,0,25,NA,NA
51127,"New Kent County, Virginia",2024,B25036,B25036_015,Total:!!Renter occupied:!!Built 2010 to 2019,127,103,49.30234784481727,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_016,Total:!!Renter occupied:!!Built 2000 to 2009,35,38,66.00086843247938,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_017,Total:!!Renter occupied:!!Built 1990 to 1999,27,42,94.56264775413712,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_018,Total:!!Renter occupied:!!Built 1980 to 1989,66,52,47.895367044303214,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_019,Total:!!Renter occupied:!!Built 1970 to 1979,212,111,31.828869645007746,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_020,Total:!!Renter occupied:!!Built 1960 to 1969,28,32,69.4745983499783,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_021,Total:!!Renter occupied:!!Built 1950 to 1959,11,19,105.00138159712628,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_022,Total:!!Renter occupied:!!Built 1940 to 1949,118,101,52.03235278965535,Low
51127,"New Kent County, Virginia",2024,B25036,B25036_023,Total:!!Renter occupied:!!Built 1939 or earlier,57,63,67.1892497200448,Low
51145,"Powhatan County, Virginia",2024,B25036,B25036_001,Total:,11325,245,1.3151096707529002,High
51145,"Powhatan County, Virginia",2024,B25036,B25036_002,Total:!!Owner occupied:,10559,298,1.7156455648978917,High
51145,"Powhatan County, Virginia",2024,B25036,B25036_003,Total:!!Owner occupied:!!Built 2020 or later,282,141,30.3951367781155,Low
