year,month,metric,value
2019,Nov,median_sale_price,274900
2019,Nov,new_listings,1326
2019,Dec,active_listings,3318
2019,Dec,days_to_sell,18
2019,Dec,median_sale_price,278620
2019,Dec,new_listings,979
2020,Jan,active_listings,3144
2020,Jan,days_to_sell,24
2020,Jan,median_sale_price,265000
2020,Jan,new_listings,1814
2020,Feb,active_listings,3013
2020,Feb,days_to_sell,18
2020,Feb,median_sale_price,260000
2020,Feb,new_listings,1829
2020,Mar,active_listings,3258
2020,Mar,days_to_sell,11
2020,Mar,median_sale_price,281950
2020,Mar,new_listings,2317
2020,Apr,active_listings,3341
2020,Apr,days_to_sell,7
2020,Apr,median_sale_price,289000
2020,Apr,new_listings,1909
2020,May,active_listings,3078
2020,May,days_to_sell,7
2020,May,median_sale_price,289925
2020,May,new_listings,1936
2020,Jun,active_listings,2937
2020,Jun,days_to_sell,9
2020,Jun,median_sale_price,291000
2020,Jun,new_listings,2141
2020,Jul,active_listings,2776
2020,Jul,days_to_sell,7
2020,Jul,median_sale_price,305205
2020,Jul,new_listings,2228
2020,Aug,active_listings,2614
2020,Aug,days_to_sell,7
2020,Aug,median_sale_price,305000
2020,Aug,new_listings,2104
2020,Sep,active_listings,2629
2020,Sep,days_to_sell,6
2020,Sep,median_sale_price,305446
2020,Sep,new_listings,2149
2020,Oct,active_listings,2554
2020,Oct,days_to_sell,6
2020,Oct,median_sale_price,311539
2020,Oct,new_listings,2080
2020,Nov,active_listings,2260
2020,Nov,days_to_sell,6
2020,Nov,median_sale_price,305000
2020,Nov,new_listings,1486
2020,Dec,active_listings,2023
2020,Dec,days_to_sell,6
2020,Dec,median_sale_price,310000
2020,Dec,new_listings,1263
2021,Jan,active_listings,1847
2021,Jan,days_to_sell,7
2021,Jan,median_sale_price,295000
2021,Jan,new_listings,1609
2021,Feb,active_listings,1762
2021,Feb,days_to_sell,6
2021,Feb,median_sale_price,318000
2021,Feb,new_listings,1497
2021,Mar,active_listings,1773
2021,Mar,days_to_sell,6
2021,Mar,median_sale_price,320000
2021,Mar,new_listings,2105
2021,Apr,active_listings,2017
2021,Apr,days_to_sell,5
2021,Apr,median_sale_price,328500
2021,Apr,new_listings,2286
2021,May,active_listings,1953
2021,May,days_to_sell,5
2021,May,median_sale_price,325000
2021,May,new_listings,2246
2021,Jun,active_listings,2066
2021,Jun,days_to_sell,6
2021,Jun,median_sale_price,342357
2021,Jun,new_listings,2347
2021,Jul,active_listings,2243
2021,Jul,days_to_sell,6
2021,Jul,median_sale_price,337500
2021,Jul,new_listings,2262
2021,Aug,active_listings,2232
2021,Aug,days_to_sell,6
2021,Aug,median_sale_price,337500
2021,Aug,new_listings,2083
2021,Sep,active_listings,2224
2021,Sep,days_to_sell,6
2021,Sep,median_sale_price,335000
2021,Sep,new_listings,1889
2021,Oct,active_listings,2009
2021,Oct,days_to_sell,7
2021,Oct,median_sale_price,339000
2021,Oct,new_listings,1807
2021,Nov,active_listings,1675
2021,Nov,days_to_sell,6
2021,Nov,median_sale_price,336036
2021,Nov,new_listings,1402
2021,Dec,active_listings,1430
2021,Dec,days_to_sell,6
2021,Dec,median_sale_price,330000
2021,Dec,new_listings,1005
2022,Jan,active_listings,1352
2022,Jan,days_to_sell,7
2022,Jan,median_sale_price,332250
2022,Jan,new_listings,1280
2022,Feb,active_listings,1384
2022,Feb,days_to_sell,6
2022,Feb,median_sale_price,348500
2022,Feb,new_listings,1502
2022,Mar,active_listings,1462
2022,Mar,days_to_sell,6
2022,Mar,median_sale_price,365000
2022,Mar,new_listings,1900
2022,Apr,active_listings,1635
2022,Apr,days_to_sell,6
2022,Apr,median_sale_price,370000
2022,Apr,new_listings,1946
2022,May,active_listings,1719
2022,May,days_to_sell,6
2022,May,median_sale_price,380000
2022,May,new_listings,2112
2022,Jun,active_listings,2001
2022,Jun,days_to_sell,6
2022,Jun,median_sale_price,384583
2022,Jun,new_listings,2159
2022,Jul,active_listings,2171
2022,Jul,days_to_sell,6
2022,Jul,median_sale_price,382450
2022,Jul,new_listings,1784
2022,Aug,active_listings,2110
2022,Aug,days_to_sell,7
2022,Aug,median_sale_price,370000
2022,Aug,new_listings,1567
2022,Sep,active_listings,2232
